id_transacao,id_cliente,valor,data_transacao
45336884,58,44.97,2025-04-23
99883946,59,166.06,2025-03-13
34397843,59,164.83,2025-05-13
76888210,59,29.43,2025-06-16
56099431,59,31.18,2025-03-11
11378177,59,37.09,2025-05-01
31042642,60,159.89,2025-06-11
77941868,60,97.54,2024-12-23
71491083,60,153.64,2025-05-01
25368944,60,153.72,2024-11-16
38691261,60,60.29,2025-01-26
87192748,61,125.93,2025-06-21
96977657,61,117.09,2025-06-12
95707359,61,84.33,2025-06-14
49115679,61,84.4,2025-06-23
40666153,61,177.91,2025-06-16
83265444,62,11.43,2025-06-05
8343053,62,82.21,2025-05-25
34290863,62,94.38,2025-05-28
86094868,63,30.39,2025-04-28
76705806,63,23.78,2025-06-10
48474212,63,149.74,2025-05-02
98700166,64,85.04,2024-04-15
13101304,64,34.73,2024-10-02
48776483,64,64.01,2024-09-03
65502841,64,35.77,2025-05-23
97349427,64,58.25,2024-05-10
45529928,65,156.81,2025-06-19
77249179,65,52.15,2025-06-20
2860416,65,180.22,2025-06-10
63017932,65,11.28,2025-06-13
42710460,65,158.5,2025-06-11
70823695,65,188.6,2025-06-14
22602927,65,22.11,2025-06-08
18906994,66,126.74,2024-01-15
2997148,66,51.01,2024-08-09
3535259,67,31.44,2024-04-24
82824750,67,191.79,2024-11-01
92303834,68,68.65,2025-05-07
84215527,68,67.14,2024-12-26
68943805,68,168.77,2023-11-18
85137518,68,173.5,2024-01-21
41836994,68,141.93,2023-11-19
19523797,68,19.22,2024-09-03
90091157,69,13.7,2025-04-02
56664156,69,137.65,2025-04-13
8030626,69,20.18,2025-04-15
30615877,69,183.73,2025-03-30
31972731,69,144.99,2025-06-06
46646487,69,18.04,2025-03-29
89573586,70,179.31,2024-12-20
30938372,70,172.32,2024-10-23
35832815,70,37.86,2025-01-19
52542182,70,166.17,2025-05-15
91253642,70,153.46,2024-11-01
85055594,70,90.66,2024-10-03
76606022,70,131.66,2025-02-02
4720843,70,141.63,2025-02-10
61162415,71,142.82,2024-07-13
380873,71,97.34,2024-12-19
64328782,71,163.82,2025-06-08
80747547,71,48.07,2024-03-28
15271492,71,186.28,2025-05-13
95890822,71,182.92,2024-09-12
74991143,71,147.02,2024-08-06
81877249,71,57.66,2024-11-21
75065943,71,23.81,2025-02-10
75062359,71,117.42,2024-10-07
8004387,72,91.0,2025-04-21
17037507,72,189.06,2024-11-04
61139091,72,13.03,2025-06-01
48979839,72,171.45,2025-03-30
63975741,72,52.83,2024-05-22
1012860,73,160.26,2025-03-22
75416443,73,102.18,2025-06-17
46063645,73,81.65,2025-01-01
23909211,73,24.7,2025-02-07
53451023,73,112.47,2025-06-13
97233089,73,135.61,2025-05-31
62674863,73,109.41,2024-12-25
9915705,73,58.25,2025-02-19
47642812,73,73.37,2025-02-07
18863690,74,97.64,2025-04-14
81102030,74,30.17,2025-04-25
46846398,75,139.19,2024-11-08
52431929,75,47.01,2024-07-08
63026712,75,108.06,2025-01-24
99313354,75,20.99,2025-06-17
59740204,75,75.79,2024-11-16
17860953,75,15.95,2024-07-28
4456190,75,126.96,2024-07-15
83941429,75,113.5,2024-10-20
24975934,75,96.15,2025-04-12
1897731,75,14.44,2025-06-13
97343343,76,194.69,2024-03-11
53852353,76,85.42,2025-05-14
66464375,76,40.99,2024-10-16
83935052,76,101.36,2025-03-09
79866640,76,87.6,2024-09-24
15511808,76,163.14,2025-03-03
40099534,76,88.56,2024-11-13
1268217,76,198.01,2024-11-30
91560316,76,10.36,2025-01-08
4354039,76,39.38,2024-08-18
29007778,77,40.96,2024-09-22
60612300,77,126.53,2024-07-04
56938473,78,143.15,2025-03-28
76708595,78,180.98,2025-05-16
85452315,78,95.18,2025-04-21
14135614,78,121.28,2025-06-14
23288381,78,62.35,2025-04-30
29832058,78,106.9,2025-05-29
60222375,78,191.54,2025-03-20
95957546,78,192.65,2025-06-12
76008366,79,13.19,2024-07-05
98781487,80,28.94,2025-01-10
86553085,80,64.13,2025-06-04
93204828,80,54.14,2025-06-04
93225539,81,17.5,2024-06-04
35869918,81,158.8,2024-12-19
30193198,81,32.9,2025-02-15
95865672,81,23.93,2024-05-28
95975413,81,112.05,2025-03-21
14368485,81,159.95,2025-04-27
70785913,82,179.95,2024-04-01
17903717,82,115.7,2024-03-24
95511527,82,74.61,2024-05-22
5608119,82,55.86,2025-05-20
80359804,83,27.2,2025-05-26
65126716,84,166.22,2023-11-07
39738091,84,161.43,2025-02-22
13924099,84,134.65,2023-10-16
30640608,84,17.33,2024-07-16
73970753,84,33.1,2024-06-05
31028428,85,182.65,2024-09-27
59795808,85,179.54,2025-04-26
38030588,85,121.23,2024-11-17
81463219,85,45.08,2025-01-06
4665824,85,60.46,2025-03-22
89294506,86,95.53,2025-03-15
24574349,86,179.1,2025-01-11
86702102,87,127.24,2024-10-08
7453689,87,142.55,2024-11-25
64644446,87,121.01,2024-06-12
2985722,87,137.44,2025-06-23
11167949,87,190.02,2024-09-30
74125645,87,60.28,2024-10-20
38387071,87,176.72,2024-04-01
75593734,87,150.24,2024-07-23
56423446,87,100.4,2024-04-27
87552092,87,165.92,2024-11-13
96872974,88,146.8,2023-09-26
50671665,89,67.63,2024-05-12
39255096,89,15.15,2024-10-18
54256981,89,64.68,2024-09-19
29578163,89,153.36,2025-05-29
25513226,89,152.3,2025-01-26
93063551,90,32.22,2024-12-05
91601883,90,32.17,2025-06-07
13984046,90,80.59,2024-11-18
53385324,90,22.26,2025-02-20
95639817,90,48.84,2025-06-23
9540224,90,63.11,2025-01-04
65006261,91,172.61,2025-05-20
14967335,91,168.77,2024-04-15
92151668,91,187.97,2024-02-08
79997781,91,125.08,2023-12-19
28684922,91,153.52,2025-04-20
91378020,91,13.14,2025-01-29
4954087,91,147.86,2025-06-02
17005597,91,176.7,2025-06-21
26263262,91,137.69,2025-01-05
33738352,91,35.19,2024-01-27
94001890,92,171.26,2024-12-20
89012675,92,130.42,2025-01-10
13329819,92,193.12,2025-03-21
58774414,92,26.03,2024-05-09
61165694,92,176.71,2023-09-09
80789441,92,51.37,2025-02-07
52757144,93,190.15,2025-02-08
32779474,93,77.45,2025-02-02
64437628,93,82.61,2025-06-21
62473148,93,72.36,2025-06-17
11041594,93,191.26,2025-06-10
23551018,93,68.11,2024-12-19
46076468,93,73.58,2024-11-20
11355514,94,179.44,2025-02-20
41492371,94,112.85,2025-04-28
14615718,95,74.97,2025-06-05
55211638,95,63.12,2025-04-07
64309124,95,179.09,2025-01-12
70247910,95,12.95,2024-05-08
15301026,95,69.67,2024-10-24
17906209,95,92.59,2023-12-09
70585234,95,94.7,2024-12-22
13559074,96,114.05,2025-06-19
14904200,96,94.81,2024-05-19
87775897,96,163.15,2025-06-04
91813797,97,31.51,2025-05-20
75552654,97,164.15,2025-06-20
32009949,97,37.81,2025-06-17
16005719,97,129.5,2024-11-03
46319716,97,176.33,2024-06-28
69321642,97,54.19,2025-04-30
19550534,97,174.39,2024-05-01
43318934,97,151.48,2025-05-25
57267950,98,66.92,2025-04-25
51997553,98,82.74,2025-06-12
5155522,99,71.81,2025-06-03
87921140,99,111.65,2024-09-01
30872202,99,99.81,2024-09-15
8395761,99,130.48,2024-09-16
31671602,99,113.11,2025-05-10
86151257,99,162.48,2024-12-18
98024934,99,175.62,2024-11-18
7730799,99,51.44,2024-11-24
56630750,99,60.57,2025-02-19
26792746,99,11.96,2025-04-24
77077408,100,101.65,2023-11-23
68182116,100,152.58,2025-04-26
95254244,100,164.44,2025-04-13
14871907,100,17.87,2023-11-12
29900455,100,39.62,2025-03-18
24206162,100,67.49,2024-09-04
55265980,100,53.85,2024-01-28
96520543,100,132.58,2023-11-11
60541876,101,196.22,2023-12-26
41366341,101,35.63,2025-05-16
88150625,101,161.89,2023-12-18
49299580,101,80.93,2023-10-26
66691933,101,15.0,2023-11-25
86064891,101,97.95,2024-09-26
51267777,101,167.18,2024-08-20
98071666,102,37.06,2025-06-06
94816995,102,82.15,2025-06-12
22964199,102,44.96,2025-06-02
30004656,102,126.96,2025-06-23
27847525,102,115.44,2025-05-29
26621730,102,151.33,2025-06-17
79889405,103,156.53,2024-12-04
66162128,103,132.75,2024-10-14
40565671,103,172.5,2024-04-08
78999135,103,171.79,2024-10-29
12609025,103,49.53,2024-04-22
75791996,103,130.53,2025-01-06
15737110,104,31.44,2025-02-26
23600186,105,173.98,2024-08-17
36410805,105,134.63,2025-01-14
61152029,105,181.28,2024-01-02
90675411,105,153.14,2024-08-11
73294287,105,89.18,2025-06-20
33202670,105,69.42,2025-05-25
53975449,105,143.86,2024-09-02
4754340,105,106.85,2025-04-29
59261460,105,109.13,2024-01-18
48357299,105,89.18,2023-10-30
24664463,106,39.82,2023-09-16
36745509,106,30.2,2024-11-03
12287923,106,102.23,2023-12-10
48448454,106,80.22,2025-01-03
23827644,106,56.03,2025-01-21
76867022,106,179.97,2024-07-24
47540696,106,119.13,2023-11-21
66955021,106,77.82,2025-01-16
22304514,106,187.65,2024-01-10
75923957,107,132.32,2025-06-20
98068131,107,180.46,2025-06-22
2766397,107,138.67,2025-06-20
96423734,107,134.36,2025-06-23
18071287,107,138.03,2025-06-21
46160919,107,23.21,2025-06-22
10486514,107,57.45,2025-06-20
6505892,107,13.61,2025-06-22
41289859,108,179.21,2025-05-08
13650127,108,85.37,2025-04-25
4802923,108,93.36,2025-01-21
37052080,108,94.09,2024-12-27
76385300,108,76.39,2024-05-06
30338089,109,107.71,2025-04-04
31525763,109,60.32,2025-05-11
88692384,109,164.73,2025-05-21
99231598,109,176.07,2025-05-28
16382031,109,43.07,2025-03-25
94869756,110,54.94,2025-05-03
4371112,110,163.08,2025-04-14
90178036,110,164.24,2025-04-13
97379519,110,145.44,2025-05-18
47040433,110,49.56,2025-05-15
47858692,110,92.19,2025-05-03
8788478,110,15.46,2025-05-18
98282833,110,107.01,2025-04-12
83511777,110,18.51,2025-04-21
6472752,110,192.02,2025-05-09
4981660,111,41.75,2025-06-08
30013528,111,131.42,2025-05-19
54569371,111,47.29,2025-06-10
58842763,112,54.89,2025-05-10
2076148,112,62.04,2025-03-31
67967803,112,128.86,2025-03-27
1670162,112,133.27,2025-05-04
80253989,112,187.74,2025-06-01
67812472,113,127.68,2024-12-31
62498602,113,161.17,2024-12-22
25221450,113,17.49,2024-09-14
22368320,113,76.51,2024-06-10
72489460,113,80.3,2024-10-18
99498392,113,151.09,2025-03-20
57076872,113,127.12,2024-02-06
96587732,113,39.79,2024-03-13
93910008,113,131.5,2025-03-17
20773058,113,19.54,2025-02-25
75251086,114,18.99,2024-07-18
9013025,114,128.7,2024-06-24
69255775,114,14.61,2025-06-17
83273329,114,169.13,2024-06-28
87499118,115,108.72,2025-03-11
88464174,115,128.84,2024-07-02
49608434,115,177.29,2025-03-28
88589828,116,183.22,2024-07-05
21410229,116,169.68,2024-07-19
29695271,117,143.04,2025-02-10
28432100,117,95.54,2025-05-15
76959346,117,77.84,2024-11-22
52801464,117,67.82,2025-01-26
28935856,117,74.82,2024-12-04
97628701,117,30.59,2025-01-10
82908320,117,116.36,2024-12-30
43772040,117,115.53,2025-05-31
8308296,117,69.62,2024-10-16
13501430,117,70.43,2024-11-05
20749955,118,187.45,2024-04-09
87613968,118,96.81,2024-10-09
10791015,118,42.74,2024-06-23
35066750,118,48.58,2024-10-01
70122431,118,131.6,2025-06-17
11842896,118,10.1,2025-02-20
24947787,118,176.66,2024-10-07
49382225,118,199.18,2024-07-28
17941542,118,68.51,2024-09-29
87467001,119,12.69,2025-06-19
30205463,119,126.92,2025-06-09
14813490,119,183.47,2025-03-27
9803879,119,20.31,2025-06-06
17944883,119,104.68,2025-02-23
19874295,120,105.71,2025-02-05
13785752,120,67.18,2025-06-08
18850620,121,119.54,2025-05-31
77240999,121,122.93,2025-06-03
57464300,121,64.47,2025-06-17
49559379,121,172.17,2025-06-06
56849284,121,43.77,2025-06-13
41457552,121,13.43,2025-06-03
64961319,121,45.33,2025-05-30
31149345,121,139.78,2025-06-04
11601315,121,185.74,2025-05-31
57370056,121,87.71,2025-06-20
28822389,122,62.5,2025-04-27
71688468,122,57.9,2024-11-23
11226022,122,67.34,2025-04-09
15963163,122,80.87,2025-03-10
86289110,122,172.85,2024-12-23
93670765,122,184.08,2024-12-15
21679584,122,36.48,2024-12-19
86864664,122,160.69,2025-03-16
32488528,123,21.83,2025-01-02
5792966,123,65.69,2025-06-09
33892606,123,192.37,2024-10-27
2644809,123,155.82,2025-06-06
26296331,123,111.32,2025-05-10
64041435,123,140.97,2024-11-19
30791399,124,44.75,2024-06-01
23271498,124,140.72,2024-04-01
23627001,124,144.51,2023-09-25
96090673,124,145.89,2024-06-16
33926345,124,13.97,2023-10-28
12344653,124,16.64,2025-03-28
37859713,125,83.04,2025-01-11
19908019,125,176.72,2025-03-28
83814756,125,23.84,2024-12-13
56735011,125,35.43,2024-09-17
65842868,125,105.54,2024-09-02
47505153,126,103.81,2024-06-05
54842943,126,172.91,2025-06-03
45596538,127,25.24,2025-02-03
52197531,127,196.7,2024-04-20
8523160,127,122.86,2024-09-13
99753539,127,147.0,2024-09-18
29148141,127,124.07,2024-09-29
99610917,127,81.96,2025-02-23
78110176,127,97.59,2024-08-31
18360227,128,44.52,2025-01-26
3148147,128,91.74,2025-05-03
51532506,128,96.48,2025-03-23
33627878,128,30.5,2025-04-19
51904710,128,67.67,2024-07-08
42691371,128,154.33,2025-06-23
55132639,128,37.18,2023-11-14
17869045,128,156.25,2024-05-09
58671315,128,52.32,2024-12-31
55638227,128,78.03,2024-03-16
39031598,129,173.36,2024-07-10
24272687,129,51.39,2024-09-12
24962978,129,90.04,2024-09-03
95936267,129,14.04,2024-11-13
8298444,129,128.05,2025-04-04
43157924,129,107.72,2024-11-16
14458434,130,195.0,2024-05-11
74456428,130,33.13,2024-05-15
52273395,130,130.57,2024-01-13
13980532,130,164.28,2024-08-20
585049,130,63.03,2024-11-15
48685017,130,84.15,2024-09-13
4679967,131,40.23,2025-01-14
64475630,132,57.8,2024-06-06
67198940,132,23.68,2024-08-24
24246491,132,93.03,2024-05-04
85806929,132,162.27,2024-03-18
36281689,132,54.01,2024-08-02
79318812,132,142.32,2024-05-23
97705189,132,101.19,2023-09-22
49670584,132,140.78,2024-12-04
78979242,132,90.24,2023-10-16
62354845,133,32.29,2024-10-28
41530936,133,199.16,2024-07-03
6898945,134,195.55,2024-11-04
5340503,134,17.67,2025-04-05
30382752,134,91.37,2025-01-17
95602775,134,27.95,2025-04-09
85194641,134,82.67,2024-07-13
14191060,134,24.87,2023-11-03
30106368,134,106.87,2023-10-17
75969794,134,16.53,2023-12-25
7942388,134,83.66,2024-09-05
86993336,134,90.7,2024-12-10
87543797,135,137.82,2025-05-25
18547038,136,188.79,2025-01-18
80391105,136,112.23,2025-02-28
17701372,136,14.56,2024-01-02
36530930,136,14.22,2025-05-17
92294033,136,17.99,2025-03-07
29420318,136,56.37,2024-12-19
67818918,137,176.75,2024-10-08
3551419,137,105.61,2024-12-18
65448232,137,151.14,2025-04-04
46539623,137,37.41,2025-01-11
84674345,137,16.6,2024-10-28
7973381,137,74.39,2025-01-03
66779148,137,70.48,2024-10-07
11308643,137,120.99,2024-07-07
61455271,138,97.93,2025-02-22
50599102,138,199.88,2024-11-11
10602544,138,84.61,2024-06-27
50112894,138,69.74,2024-07-10
46960786,138,140.25,2024-04-22
19162626,138,30.46,2024-09-12
37770959,138,58.82,2025-05-30
1919538,138,67.74,2024-05-09
17238844,138,41.87,2024-09-02
89033297,139,177.92,2025-06-18
24132145,139,46.77,2025-06-15
33579375,139,175.64,2025-06-08
96629295,139,190.53,2025-06-22
94014884,139,167.54,2025-06-15
33769980,139,196.89,2025-06-02
71255316,140,64.85,2025-05-08
38914238,140,123.05,2024-08-20
40829044,141,134.86,2025-06-06
2358424,141,177.46,2025-05-10
26036097,141,177.59,2025-05-11
78913565,141,182.26,2025-06-19
2958437,142,74.36,2024-02-11
80913344,142,23.48,2025-01-27
21216212,142,135.49,2024-05-27
91374043,142,19.28,2024-03-07
34280172,142,163.64,2024-06-15
20613459,142,64.53,2024-10-27
90693153,142,152.5,2024-09-06
27954733,142,90.3,2024-09-21
60847078,142,170.8,2024-04-23
34564076,142,34.68,2024-02-17
61981559,143,91.68,2024-12-19
79783680,143,117.18,2025-03-26
1728394,143,94.08,2025-04-30
17130913,143,32.44,2025-03-06
52826006,143,46.74,2025-01-09
70983968,143,103.5,2025-01-31
